2021-02-14 07:58:12.236 The Virtual Hub is now online.
2021-02-14 08:10:28.824 Administration mode [RPC-27] (Virtual Hub "warHub"): User "test01" has been created.
2021-02-14 08:11:27.391 Administration mode [RPC-27] (Virtual Hub "warHub"): The Virtual Hub setting has been changed.
2021-02-14 08:11:50.999 Administration mode [RPC-27] (Virtual Hub "warHub"): The SecureNAT function has been enabled.
2021-02-14 08:11:50.999 SecureNAT has started. The SecureNAT session "SID-SECURENAT-1" was created.
2021-02-14 08:11:59.110 SecureNAT: It has been detected that the Kernel-mode NAT for SecureNAT can be run on the interface "ipv4_rawsocket_virtual_router". The Kernel-mode NAT is starting. The TCP, UDP and ICMP NAT processings will be performed with high-performance via Kernel-Mode hereafter. The parameters of Kernel-mode NAT: IP Address = "10.171.7.254", Subnet Mask = "255.255.255.252", Default Gateway = "10.171.7.253", Broadcast Address = "10.171.7.255", Virtual MAC Address: "DA-22-59-63-5E-69", DHCP Server Address: "10.171.7.253", DNS Server Address: "8.8.8.8"
2021-02-14 08:13:25.958 The connection "CID-40" (IP address: 111.37.52.187, Host name: 111.37.52.187, Port number: 13569, Client name: "SoftEther VPN Client", Version: 4.34, Build: 9745) is attempting to connect to the Virtual Hub. The auth type provided is "Password authentication" and the user name is "test01".
2021-02-14 08:13:25.958 Connection "CID-40": Successfully authenticated as user "test01".
2021-02-14 08:13:25.969 Connection "CID-40": The new session "SID-TEST01-2" has been created. (IP address: 111.37.52.187, Port number: 13569, Physical underlying protocol: "Standard TCP/IP (IPv4)")
2021-02-14 08:13:25.969 Session "SID-TEST01-2": The parameter has been set. Max number of TCP connections: 32, Use of encryption: Yes, Use of compression: Yes, Use of Half duplex communication: No, Timeout: 20 seconds.
2021-02-14 08:13:31.221 SecureNAT: The UDP session 56 has been created. Connection source 192.168.30.10:51420, Connection destination 192.168.30.1:53
2021-02-14 08:13:31.252 SecureNAT: The UDP session 57 has been created. Connection source 192.168.30.10:57172, Connection destination 255.255.255.255:1900
2021-02-14 08:13:31.504 SecureNAT: The UDP session 58 has been created. Connection source 192.168.30.10:62156, Connection destination 209.58.131.173:6000
2021-02-14 08:13:35.416 SecureNAT: The UDP session 62 has been created. Connection source 192.168.30.10:57885, Connection destination 192.168.30.1:53
2021-02-14 08:13:35.466 SecureNAT: The TCP session 63 has been created. Connection source 192.168.30.10:50375, Connection destination 119.28.143.206:1688
2021-02-14 08:13:36.416 SecureNAT: The UDP session 64 has been created. Connection source 192.168.30.10:62376, Connection destination 192.168.30.1:53
2021-02-14 08:13:36.991 SecureNAT: The TCP session 14 has been deleted.
2021-02-14 08:13:37.002 SecureNAT: The UDP session 65 has been created. Connection source 192.168.30.10:56417, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.013 SecureNAT: The TCP session 10 has been deleted.
2021-02-14 08:13:37.013 SecureNAT: The UDP session 66 has been created. Connection source 192.168.30.10:64322, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.023 SecureNAT: The TCP session 67 has been created. Connection source 192.168.30.10:50378, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.164 SecureNAT: The UDP session 68 has been created. Connection source 192.168.30.10:53026, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.205 SecureNAT: The UDP session 69 has been created. Connection source 192.168.30.10:61344, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.265 SecureNAT: The TCP session 26 has been deleted.
2021-02-14 08:13:37.265 SecureNAT: The TCP session 70 has been created. Connection source 192.168.30.10:50379, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.356 SecureNAT: The TCP session 71 has been created. Connection source 192.168.30.10:50380, Connection destination 37.228.108.133:443
2021-02-14 08:13:37.478 SecureNAT: The TCP session 72 has been created. Connection source 192.168.30.10:50381, Connection destination 180.101.49.11:443
2021-02-14 08:13:37.478 SecureNAT: The TCP session 73 has been created. Connection source 192.168.30.10:50382, Connection destination 180.101.49.11:443
2021-02-14 08:13:37.518 SecureNAT: The TCP session 74 has been created. Connection source 192.168.30.10:50383, Connection destination 37.228.108.133:443
2021-02-14 08:13:37.599 SecureNAT: The TCP session 75 has been created. Connection source 192.168.30.10:50384, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.599 SecureNAT: The TCP session 76 has been created. Connection source 192.168.30.10:50385, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.599 SecureNAT: The TCP session 77 has been created. Connection source 192.168.30.10:50386, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.599 SecureNAT: The TCP session 78 has been created. Connection source 192.168.30.10:50387, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.599 SecureNAT: The TCP session 79 has been created. Connection source 192.168.30.10:50388, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.599 SecureNAT: The TCP session 80 has been created. Connection source 192.168.30.10:50389, Connection destination 107.167.110.216:443
2021-02-14 08:13:37.710 SecureNAT: The UDP session 81 has been created. Connection source 192.168.30.10:56303, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.720 SecureNAT: The TCP session 82 has been created. Connection source 192.168.30.10:50390, Connection destination 31.13.90.33:443
2021-02-14 08:13:37.730 SecureNAT: The UDP session 83 has been created. Connection source 192.168.30.10:54876, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.730 SecureNAT: The UDP session 84 has been created. Connection source 192.168.30.10:64707, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.730 SecureNAT: The UDP session 85 has been created. Connection source 192.168.30.10:54736, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.752 SecureNAT: The UDP session 86 has been created. Connection source 192.168.30.10:49755, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.752 SecureNAT: The UDP session 87 has been created. Connection source 192.168.30.10:64921, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.752 SecureNAT: The UDP session 88 has been created. Connection source 192.168.30.10:64560, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.944 SecureNAT: The UDP session 89 has been created. Connection source 192.168.30.10:59095, Connection destination 192.168.30.1:53
2021-02-14 08:13:37.960 SecureNAT: The TCP session 90 has been created. Connection source 192.168.30.10:50391, Connection destination 180.101.49.11:443
2021-02-14 08:13:37.960 SecureNAT: The TCP session 91 has been created. Connection source 192.168.30.10:50392, Connection destination 31.13.90.33:443
2021-02-14 08:13:37.971 SecureNAT: The TCP session 92 has been created. Connection source 192.168.30.10:50393, Connection destination 123.235.30.38:443
2021-02-14 08:13:37.971 SecureNAT: The TCP session 93 has been created. Connection source 192.168.30.10:50394, Connection destination 180.101.49.12:443
2021-02-14 08:13:38.062 SecureNAT: The UDP session 94 has been created. Connection source 192.168.30.10:53259, Connection destination 192.168.30.1:53
2021-02-14 08:13:38.122 SecureNAT: The UDP session 95 has been created. Connection source 192.168.30.10:51273, Connection destination 192.168.30.1:53
2021-02-14 08:13:38.132 SecureNAT: The TCP session 96 has been created. Connection source 192.168.30.10:50396, Connection destination 180.101.49.11:443
2021-02-14 08:13:38.466 SecureNAT: The UDP session 97 has been created. Connection source 192.168.30.10:60287, Connection destination 192.168.30.1:53
2021-02-14 08:13:38.617 SecureNAT: The TCP session 98 has been created. Connection source 192.168.30.10:50397, Connection destination 13.33.174.107:443
